response_time,status_code,request_count,error_rate,cpu_usage,memory_usage,network_io,disk_io,hour_of_day,day_of_week,is_anomaly
147.9787,200.0,90.45265,0.007376439,43.658665,41.973534,286.80667,167.6406,4.0,4.0,0
330.6538,200.0,105.39022,0.020231577,44.65362,69.069374,218.6803,161.89133,0.0,6.0,0
179.54922,200.0,106.12479,0.0020482691,58.760223,63.106873,190.1166,146.8639,1.0,4.0,0
88.26973,200.0,93.002846,0.0012582097,34.13166,36.77426,86.54238,16.523438,11.0,5.0,0
204.64716,200.0,118.40608,0.04739266,42.69905,45.53128,286.2433,437.5499,2.0,6.0,0
185.81728,200.0,114.31634,0.018362379,30.822914,49.49831,284.6871,155.48553,9.0,1.0,0
175.5804,200.0,149.7969,0.006393575,42.228737,60.69851,212.74887,116.05056,19.0,5.0,0
193.76102,200.0,86.43596,0.013534773,19.764402,63.484776,196.75752,191.65005,4.0,1.0,0
294.9959,200.0,114.18305,0.0006693783,39.230824,46.89184,277.80524,0.0,4.0,0.0,0
306.09448,200.0,156.20245,0.030272506,50.87807,64.56137,409.86783,229.95181,11.0,1.0,0
116.78418,200.0,80.50599,0.0005141074,70.78119,47.987434,210.34294,59.271046,14.0,0.0,0
177.32155,200.0,105.84326,0.00077393255,49.606438,53.750473,295.01434,171.08989,4.0,5.0,0
260.76636,200.0,90.987885,0.00504505,30.895065,57.83507,106.26293,101.048744,13.0,1.0,0
336.01282,500.0,127.139725,0.0055890824,51.707325,53.184654,303.03735,145.29916,16.0,0.0,0
252.59065,200.0,58.503677,0.0077934125,41.810566,52.573963,194.49591,184.77342,8.0,2.0,0
230.14912,200.0,103.92336,0.023016674,17.14196,23.171621,229.35701,240.96455,19.0,3.0,0
234.437,200.0,66.967995,0.011251625,21.4303,59.714672,73.58605,226.07414,15.0,0.0,0
367.34857,200.0,75.74464,0.0025974268,43.997547,36.195248,249.22984,134.71326,8.0,0.0,0
150.62596,200.0,117.499725,0.004575235,24.309183,37.778503,135.64966,0.0,2.0,2.0,0
164.1632,200.0,55.50193,0.003620858,49.383842,48.852097,280.0601,257.02817,21.0,6.0,0
167.92117,201.0,57.845085,0.006064027,32.069168,52.26647,137.75195,123.22161,23.0,3.0,0
223.40784,200.0,71.22436,0.025498725,29.69369,40.36325,416.15164,127.54221,22.0,3.0,0
387.0267,200.0,145.403,0.0035399385,74.90037,30.258507,228.27736,106.334915,12.0,0.0,0
317.23715,200.0,94.11385,0.0041508544,30.563751,59.23353,273.5704,360.06738,18.0,1.0,0
199.63335,200.0,73.50835,0.028405225,63.310448,59.52962,340.65817,80.39678,7.0,6.0,0
139.49823,200.0,110.60698,0.045480184,32.480793,71.73376,168.6595,243.22989,4.0,4.0,0
103.66992,200.0,93.64668,0.006461529,21.003616,65.83004,225.84628,145.53416,18.0,4.0,0
254.50748,201.0,96.68458,0.009267353,48.026264,48.901245,64.34272,121.22249,10.0,2.0,0
258.2344,200.0,123.59712,0.010465399,12.801316,31.6474,42.616478,79.840866,0.0,3.0,0
399.16263,200.0,128.50948,0.012991982,40.862167,50.391754,354.34598,104.47162,11.0,6.0,0
151.74043,200.0,100.7074,0.00038749047,26.692984,53.375114,280.79053,0.0,22.0,3.0,0
303.53577,200.0,41.982555,0.017343555,47.10533,57.458805,269.56766,183.39871,6.0,0.0,0
94.90546,200.0,93.4218,0.0008774108,16.756313,25.593796,427.0,105.197105,23.0,4.0,0
279.4581,200.0,112.521355,0.019162552,41.416466,45.56809,283.51868,121.59139,13.0,2.0,0
184.86472,200.0,112.86448,0.0020476272,20.86937,42.76562,471.58105,120.220085,1.0,2.0,0
84.643585,200.0,125.61238,0.004212171,30.504011,29.317822,337.92303,106.92994,15.0,5.0,0
8847.181,504.0,94.846825,0.29315957,93.68534,98.70991,5816.396,8786.333,13.0,4.0,1
110.89899,200.0,84.71877,0.0046664397,62.105713,65.13354,231.14478,70.84931,11.0,3.0,0
533.9396,200.0,133.77776,0.017447948,85.151924,86.194016,372.57758,170.65562,23.0,1.0,1
280.60483,200.0,122.7396,0.015004527,76.577255,67.361755,324.0357,21.3939,8.0,5.0,0
331.44073,200.0,37.91682,0.013333209,57.345333,36.59501,401.45648,199.65437,13.0,2.0,0
7925.834,504.0,60.207005,0.28947562,93.6867,97.859245,7454.965,7773.3516,6.0,6.0,1
147.92856,200.0,115.23829,0.00034981334,40.35938,32.305416,466.55008,227.04129,18.0,0.0,0
213.02705,200.0,60.417904,0.001683204,33.758533,74.56013,180.53476,185.75955,14.0,4.0,0
192.22076,200.0,40.041355,0.008723893,58.86927,56.317825,422.85098,18.875145,20.0,3.0,0
125.477165,200.0,144.97864,0.0069131698,51.275192,48.553143,115.574165,188.43642,0.0,0.0,0
200.88847,200.0,114.43167,0.0052430504,46.1617,56.534134,291.08118,26.652521,2.0,0.0,0
190.7924,200.0,140.71553,0.018014364,28.627367,40.505615,353.84924,173.93175,18.0,2.0,0
194.64922,200.0,79.364944,0.0057734624,30.04699,43.850273,510.1262,265.30954,9.0,0.0,0
201.72209,200.0,117.93961,0.0030259932,53.51558,43.919453,410.50745,39.167187,5.0,6.0,0
148.01476,200.0,130.5891,0.010627487,40.395264,44.43802,303.97928,219.95045,9.0,6.0,0
143.17651,200.0,108.08919,0.0027368534,31.927904,37.70935,284.02512,377.68518,16.0,3.0,0
7458.045,504.0,142.57092,0.22689892,80.54387,77.64231,9910.699,9062.098,10.0,3.0,1
247.085,200.0,143.2219,0.0022866335,55.713062,40.504475,223.95566,143.89227,20.0,2.0,0
116.0478,200.0,114.67373,0.01661764,37.719612,39.604755,198.0051,93.30659,18.0,4.0,0
157.53065,200.0,164.73505,0.005995537,59.147762,49.53657,421.5247,300.56628,6.0,2.0,0
108.121376,200.0,188.83852,0.0016368806,35.556107,22.26938,148.48994,163.28246,10.0,0.0,0
233.86615,302.0,113.156395,0.024250455,57.295727,42.16646,244.56346,265.4285,20.0,3.0,0
341.4191,200.0,114.02133,0.027077667,69.41625,36.234013,237.51518,108.290054,23.0,1.0,0
125.17298,200.0,56.120953,0.0010484881,48.00614,74.86473,346.32782,184.87688,17.0,5.0,0
